com.samsung.shealth.step_daily_trend,6302031,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
7219525f-848c-4dd4-9719-8cf74e60d938.binning_data.json,2022-03-21 17:49:32.404,2022-03-21 17:49:32.404,com.sec.android.app.shealth,-2,5807,1.4428644,4545.229,252.01068,VfS0qUERdZ,com.sec.android.app.shealth,7219525f-848c-4dd4-9719-8cf74e60d938,1635465600000,
f875745b-f326-4718-9089-5c45f330a184.binning_data.json,2022-03-21 17:49:32.383,2022-03-21 17:49:32.383,com.sec.android.app.shealth,0,1567,1.3231764,1195.7603,65.1762,EmOHuC/o0o,com.sec.android.app.shealth,f875745b-f326-4718-9089-5c45f330a184,1641859200000,
28ff882c-d7ad-4d37-9231-a61234a0ee30.binning_data.json,2022-03-21 17:49:32.386,2022-03-21 17:49:32.386,com.sec.android.app.shealth,0,1514,1.483115,1168.1038,63.082752,EmOHuC/o0o,com.sec.android.app.shealth,28ff882c-d7ad-4d37-9231-a61234a0ee30,1643414400000,
e8b4bed6-fb37-4264-94ec-cf341812de50.binning_data.json,2022-03-21 17:49:32.396,2022-03-21 17:49:32.396,com.sec.android.app.shealth,0,3362,1.4849824,2620.34,141.28996,EmOHuC/o0o,com.sec.android.app.shealth,e8b4bed6-fb37-4264-94ec-cf341812de50,1645747200000,
f77f54e5-776a-49d6-b49e-a6ce2563ba36.binning_data.json,2022-03-21 17:49:32.412,2022-03-21 17:49:32.412,com.sec.android.app.shealth,-2,5530,1.413735,4284.596,223.19496,VfS0qUERdZ,com.sec.android.app.shealth,f77f54e5-776a-49d6-b49e-a6ce2563ba36,1640131200000,
2227daaf-bba2-4a32-baae-69f9b1d4d47c.binning_data.json,2022-03-21 17:49:32.393,2022-03-21 17:49:32.393,com.sec.android.app.shealth,0,1137,1.160866,849.8855,48.05594,EmOHuC/o0o,com.sec.android.app.shealth,2227daaf-bba2-4a32-baae-69f9b1d4d47c,1644451200000,
a2413631-9a65-4535-9e7c-ed7e79895c5f.binning_data.json,2022-03-21 17:49:32.410,2022-03-21 17:49:32.410,com.sec.android.app.shealth,-2,4347,1.3463567,3269.8123,162.1853,VfS0qUERdZ,com.sec.android.app.shealth,a2413631-9a65-4535-9e7c-ed7e79895c5f,1638748800000,
5faf2022-c585-46bf-a76d-d10eb38495eb.binning_data.json,2022-03-21 17:49:32.405,2022-03-21 17:49:32.405,com.sec.android.app.shealth,-2,3751,1.4202046,2949.9019,155.01015,VfS0qUERdZ,com.sec.android.app.shealth,5faf2022-c585-46bf-a76d-d10eb38495eb,1636156800000,
c8ad8070-ec1e-4dea-bcb5-8eddba261782.binning_data.json,2022-03-21 17:49:32.412,2022-03-21 17:49:32.412,com.sec.android.app.shealth,-2,9429,1.4375603,7172.6636,354.97427,VfS0qUERdZ,com.sec.android.app.shealth,c8ad8070-ec1e-4dea-bcb5-8eddba261782,1640044800000,
36fbb431-f440-4bb9-a445-7a473a640bc9.binning_data.json,2022-03-21 17:49:32.396,2022-03-21 17:49:32.396,com.sec.android.app.shealth,0,2668,1.5027297,2073.1345,111.55043,EmOHuC/o0o,com.sec.android.app.shealth,36fbb431-f440-4bb9-a445-7a473a640bc9,1646006400000,
a18d20b7-6ff9-41ea-8069-2942f4fcf5c0.binning_data.json,2022-03-21 17:49:32.394,2022-03-21 17:49:32.394,com.sec.android.app.shealth,0,2777,1.4114932,2124.6323,115.67627,EmOHuC/o0o,com.sec.android.app.shealth,a18d20b7-6ff9-41ea-8069-2942f4fcf5c0,1644969600000,
6514ead2-5c71-4e01-a5fd-4b6c8ca12f36.binning_data.json,2022-03-21 17:49:32.409,2022-03-21 17:49:32.409,com.sec.android.app.shealth,-2,2773,1.3482932,2119.08,118.37497,VfS0qUERdZ,com.sec.android.app.shealth,6514ead2-5c71-4e01-a5fd-4b6c8ca12f36,1638316800000,
d595823f-d083-4a80-bb64-63718705293e.binning_data.json,2022-03-21 17:49:32.406,2022-03-21 17:49:32.406,com.sec.android.app.shealth,-2,5385,1.3225491,4064.9214,250.80885,VfS0qUERdZ,com.sec.android.app.shealth,d595823f-d083-4a80-bb64-63718705293e,1636761600000,
57929e6f-1f36-4d04-857b-f0a1dd1007b8.binning_data.json,2022-03-21 17:49:32.384,2022-03-21 17:49:32.384,com.sec.android.app.shealth,0,2437,1.3597748,1879.1694,102.877846,EmOHuC/o0o,com.sec.android.app.shealth,57929e6f-1f36-4d04-857b-f0a1dd1007b8,1642550400000,
7f7ab55f-bee9-4e67-9d07-ed6c29150659.binning_data.json,2022-03-21 17:49:32.397,2022-03-21 17:49:32.397,com.sec.android.app.shealth,0,6217,1.6745353,5077.446,287.74997,EmOHuC/o0o,com.sec.android.app.shealth,7f7ab55f-bee9-4e67-9d07-ed6c29150659,1646611200000,
cf179927-5f6c-4df9-8bee-bec501c642a0.binning_data.json,2022-03-21 17:49:32.408,2022-03-21 17:49:32.408,com.sec.android.app.shealth,-2,8905,1.5089897,6916.4155,380.92136,VfS0qUERdZ,com.sec.android.app.shealth,cf179927-5f6c-4df9-8bee-bec501c642a0,1637971200000,
ae7a45da-0877-4b06-a1bd-5c73e30dcfe8.binning_data.json,2022-03-21 17:49:32.374,2022-03-21 17:49:32.374,com.sec.android.app.shealth,0,3941,1.474398,3065.703,169.43475,EmOHuC/o0o,com.sec.android.app.shealth,ae7a45da-0877-4b06-a1bd-5c73e30dcfe8,1639267200000,
